4188,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Sean O'Donnell,51140,1.99,Ontario,Computer Peripherals,0.55
4189,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Sean O'Donnell,51140,24.49,Ontario,Office Furnishings,0.59
4190,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Nat Carroll,51205,1.49,Ontario,Binders and Binder Accessories,0.35
4191,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Nat Carroll,51205,9.83,Ontario,Envelopes,0.4
4192,3285,John Lucas,51237,5.99,Ontario,Telephones and Communication,0.59
4193,"Quartet Alpha� White Chalk, 12/Pack",Stephanie Ulpright,51619,1,Ontario,Pens & Art Supplies,0.38
4194,Economy Rollaway Files,Stephanie Ulpright,51619,19.99,Ontario,Storage & Organization,0.59
4195,Avery Binder Labels,Stephanie Ulpright,51619,7.01,Ontario,Binders and Binder Accessories,0.37
4196,Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms,Stephanie Ulpright,51619,58.92,Ontario,Chairs & Chairmats,0.64
4197,Rubber Band Ball,Bill Overfelt,51713,0.94,Ontario,Rubber Bands,0.83
4198,Avery 507,Alejandro Grove,52007,0.5,Ontario,Labels,0.39
4199,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Alejandro Grove,52007,45.7,Ontario,Tables,0.71
4200,6120,John Lucas,52164,8.8,Ontario,Telephones and Communication,0.58
4201,Staples 6 Outlet Surge,Jim Kriz,52512,4.98,Ontario,Appliances,0.58
4202,Binder Posts,Jim Kriz,52512,5.01,Ontario,Binders and Binder Accessories,0.39
4203,Advantus Push Pins,Cathy Prescott,52611,1.38,Ontario,Rubber Bands,0.44
4204,Logitech Cordless Access Keyboard,Vivek Grady,52805,5.5,Ontario,Computer Peripherals,0.51
4205,"Companion Letter/Legal File, Black",Todd Sumrall,52833,12.9,Ontario,Storage & Organization,0.57
4206,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Sarah Foster,52930,1.39,Ontario,Envelopes,0.38
4207,Xerox 1924,Sarah Foster,52930,8.09,Ontario,Paper,0.36
4208,Accessory24,Sarah Foster,52930,3.3,Ontario,Telephones and Communication,0.59
4209,Accessory32,Sarah Foster,52930,1.25,Ontario,Telephones and Communication,0.35
4210,Vinyl Sectional Post Binders,Tony Chapman,53127,2.99,Ontario,Binders and Binder Accessories,0.35
4211,iDEN i95,Tony Chapman,53127,19.99,Ontario,Telephones and Communication,0.59
4212,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Alejandro Grove,53349,43.32,Ontario,Chairs & Chairmats,0.55
4213,Xerox 1932,Steve Nguyen,53476,5.09,Ontario,Paper,0.38
4214,4009� Highlighters by Sanford,Steve Nguyen,53476,0.7,Ontario,Pens & Art Supplies,0.52
4215,Newell 310,Steve Nguyen,53476,0.7,Ontario,Pens & Art Supplies,0.56
4216,Fellowes Staxonsteel� Drawer Files,Steve Nguyen,53476,19.99,Ontario,Storage & Organization,0.71
4217,Binder Posts,Laura Armstrong,53671,5.01,Ontario,Binders and Binder Accessories,0.39
4218,"Fellowes Strictly Business� Drawer File, Letter/Legal Size",Laura Armstrong,53671,19.99,Ontario,Storage & Organization,0.73
4219,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Laura Armstrong,53671,8.4,Ontario,Binders and Binder Accessories,0.39
4220,Bevis Rectangular Conference Tables,Laura Armstrong,53766,46.2,Ontario,Tables,0.69
4221,Xerox 1894,Sandra Flanagan,53795,6.22,Ontario,Paper,0.37
4222,688,Sandra Flanagan,53795,4.2,Ontario,Telephones and Communication,0.6
4223,Accessory41,Arthur Prichep,54209,5.99,Ontario,Telephones and Communication,0.38
4224,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Ryan Akin,54369,1.99,Ontario,Computer Peripherals,0.52
4225,"Hot File� 7-Pocket, Floor Stand",Nat Carroll,54850,19.99,Ontario,Storage & Organization,0.55
4226,StarTAC ST7762,Nat Carroll,54850,8.08,Ontario,Telephones and Communication,0.57
4227,Acme� Design Stainless Steel Bent Scissors,Stephanie Ulpright,54950,4.42,Ontario,"Scissors, Rulers and Trimmers",0.58
4228,Bush Advantage Collection� Racetrack Conference Table,Stephanie Ulpright,54950,110.2,Ontario,Tables,0.67
4229,Imation DVD-RAM discs,Katherine Nockton,55172,1.99,Ontario,Computer Peripherals,0.43
4230,6340,Jane Waco,55235,2.79,Ontario,Telephones and Communication,0.58
4231,Eureka Disposable Bags for Sanitaire� Vibra Groomer I� Upright Vac,Sally Hughsby,55300,6.89,Ontario,Appliances,0.6
4232,Avery 510,Sally Hughsby,55300,0.5,Ontario,Labels,0.37
4233,Dana Swing-Arm Lamps,Sally Hughsby,55300,13.04,Ontario,Office Furnishings,0.6
4234,"Sanford EarthWrite� Recycled Pencils, Medium Soft, #2",Lena Radford,55398,0.7,Ontario,Pens & Art Supplies,0.57
4235,Staples Standard Envelopes,John Castell,55553,1.39,Ontario,Envelopes,0.38
4236,Global Troy� Executive Leather Low-Back Tilter,John Lucas,55747,26,Ontario,Chairs & Chairmats,0.6
4237,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",John Lucas,55747,64.59,Ontario,Tables,0.66
4238,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Katherine Nockton,55779,30,Ontario,Chairs & Chairmats,0.62
4239,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",John Lucas,56418,8.22,Ontario,Storage & Organization,0.57
4240,Southworth 25% Cotton Antique Laid Paper & Envelopes,Karen Daniels,56580,4.82,Ontario,Paper,0.4
4241,"Tennsco Lockers, Gray",Karen Daniels,56580,53.03,Ontario,Storage & Organization,0.78
4242,Riverside Furniture Stanwyck Manor Table Series,Karen Daniels,56580,61.76,Ontario,Tables,0.78
4243,Belkin F9M820V08 8 Outlet Surge,Scott Cohen,56807,4.62,Ontario,Appliances,0.56
4244,Office Star - Task Chair with Contemporary Loop Arms,Steve Nguyen,56837,30,Ontario,Chairs & Chairmats,0.61
4245,Binder Posts,Sarah Foster,56995,5.01,Ontario,Binders and Binder Accessories,0.39
4246,Alliance Rubber Bands,Vivek Grady,57091,1.02,Ontario,Rubber Bands,0.81
4247,Xerox 1993,Stuart Calhoun,57155,9.68,Ontario,Paper,0.36
4248,"File Shuttle II and Handi-File, Black",Stuart Calhoun,57155,5.1,Ontario,Storage & Organization,0.6
4249,Electrix Fluorescent Magnifier Lamps & Weighted Base,Matt Connell,57185,10.25,Ontario,Office Furnishings,0.57
4250,Logitech Cordless Elite Duo,John Castell,57409,7.18,Ontario,Computer Peripherals,0.4
4251,6185,John Castell,57409,3,Ontario,Telephones and Communication,0.58
4252,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",John Lucas,57542,6.79,Ontario,Paper,0.37
4253,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",John Castell,57639,18.13,Ontario,Office Furnishings,0.56
4254,"Wilson Jones Hanging View Binder, White, 1""",Vivek Grady,57856,6.05,Ontario,Binders and Binder Accessories,0.39
4255,Newell 339,Vivek Grady,57856,0.97,Ontario,Pens & Art Supplies,0.59
4256,"Avery Flip-Chart Easel Binder, Black",Arthur Prichep,58435,15.1,Ontario,Binders and Binder Accessories,0.38
4257,Xerox 197,Sally Hughsby,59009,17.08,Ontario,Paper,0.4
4258,Fellowes PB300 Plastic Comb Binding Machine,Greg Hansen,59491,19.99,Ontario,Binders and Binder Accessories,0.38
4259,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Karen Daniels,59554,4,Ontario,Computer Peripherals,0.79
4260,Nu-Dell Leatherette Frames,Greg Hansen,59559,5,Ontario,Office Furnishings,0.49
4261,GBC DocuBind 300 Electric Binding Machine,Alejandro Grove,59745,19.99,Ontario,Binders and Binder Accessories,0.37
4262,"Black Print Carbonless Snap-Off� Rapid Letter, 8 1/2"" x 7""",Lindsay Shagiari,59906,2.15,Ontario,Paper,0.4
4263,Staples Bulk Pack Metal Binder Clips,Darrin Martin,454,1.82,Ontario,Rubber Bands,0.35
4264,Xerox 1922,Ken Brennan,549,7.44,Ontario,Paper,0.36
4265,Xerox 1984,Ken Brennan,549,8.74,Ontario,Paper,0.36
4266,"Eldon Base for stackable storage shelf, platinum",Ken Brennan,549,35,Ontario,Storage & Organization,0.8
4267,Fellowes Stor/Drawer� Steel Plus� Storage Drawers,Max Jones,999,19.99,Ontario,Storage & Organization,0.79
4268,Wilson Jones Impact Binders,Lena Creighton,1286,5.74,Ontario,Binders and Binder Accessories,0.36
4269,Accessory20,Lena Creighton,1286,3.3,Ontario,Telephones and Communication,0.37
4270,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Ken Brennan,1831,99,Ontario,Storage & Organization,0.65
4271,Ibico Presentation Index for Binding Systems,Joe Kamberova,1892,5.26,Ontario,Binders and Binder Accessories,0.38
4272,Xerox 207,Joe Kamberova,1892,5.4,Ontario,Paper,0.37
4273,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Barry Franz,1991,24.49,Ontario,Office Furnishings,0.59
4274,Okidata ML320 Series Turbo Dot Matrix Printers,Barry Franz,1991,12.06,Ontario,Office Machines,0.56
4275,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Odella Nelson,4610,1.99,Ontario,Computer Peripherals,0.52
4276,"#10 White Business Envelopes,4 1/8 x 9 1/2",Odella Nelson,4610,1.39,Ontario,Envelopes,0.38
4277,X-Rack� File for Hanging Folders,Max Jones,5697,5.03,Ontario,Storage & Organization,0.59
4278,"Belkin 325VA UPS Surge Protector, 6'",Filia McAdams,5986,3.99,Ontario,Appliances,0.6
4279,"Global Deluxe Stacking Chair, Gray",Filia McAdams,5986,14.19,Ontario,Chairs & Chairmats,0.56
4280,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Filia McAdams,5986,4.93,Ontario,Computer Peripherals,0.66
4281,Durable Pressboard Binders,Maureen Fritzler,6053,1.49,Ontario,Binders and Binder Accessories,0.38
4282,Belkin 6 Outlet Metallic Surge Strip,Lena Creighton,6432,4.5,Ontario,Appliances,0.59
4283,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Max Jones,6502,5.83,Ontario,Paper,0.36
4284,Xerox 1948,Max Jones,6502,5.12,Ontario,Paper,0.4
4285,Ibico Recycled Linen-Style Covers,Dennis Bolton,6656,10.55,Ontario,Binders and Binder Accessories,0.37
4286,Vinyl Sectional Post Binders,Dennis Bolton,6656,2.99,Ontario,Binders and Binder Accessories,0.35
4287,GBC Standard Plastic Binding Systems Combs,Maureen Fritzler,7072,5.6,Ontario,Binders and Binder Accessories,0.36
4288,Keytronic Designer 104- Key Black Keyboard,Art Foster,7429,19.99,Ontario,Computer Peripherals,0.77
4289,DAX Natural Wood-Tone Poster Frame,Art Foster,7429,6.93,Ontario,Office Furnishings,0.49
4290,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Erica Hackney,7910,4.8,Ontario,Office Furnishings,0.68
4291,Xerox 1932,Erica Hackney,7910,5.09,Ontario,Paper,0.38
4292,Holmes Odor Grabber,Don Weiss,8035,6.75,Ontario,Appliances,0.52
4293,Microsoft Natural Keyboard Elite,Jessica Myrick,8961,4,Ontario,Computer Peripherals,0.7
4294,Round Specialty Laser Printer Labels,Darrin Martin,9606,0.49,Ontario,Labels,0.38
4295,Array� Memo Cubes,Darrin Martin,9606,2.04,Ontario,Paper,0.36
4296,Multimedia Mailers,Bruce Degenhardt,9857,19.99,Ontario,Envelopes,0.39
4297,9-3/4 Diameter Round Wall Clock,Bruce Degenhardt,9857,8.78,Ontario,Office Furnishings,0.43
4298,Accessory39,Bruce Degenhardt,9857,3.3,Ontario,Telephones and Communication,0.81
4299,600 Series Non-Flip,Jenna Caffey,10851,4.99,Ontario,Telephones and Communication,0.57
4300,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Kalyca Meade,11233,4.8,Ontario,Envelopes,0.36
4301,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Dennis Bolton,11493,1.22,Ontario,Pens & Art Supplies,0.4
4302,Hon Olson Stacker Stools,Jenna Caffey,11684,24.49,Ontario,Chairs & Chairmats,0.57
4303,Wilson Jones Impact Binders,Max Jones,11975,5.74,Ontario,Binders and Binder Accessories,0.36
4304,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Lena Creighton,13537,1.71,Ontario,Paper,0.4
4305,Avery 501,Art Foster,13670,0.5,Ontario,Labels,0.38
4306,Newell 336,Ken Brennan,13764,0.94,Ontario,Pens & Art Supplies,0.56
4307,Xerox 188,Jenna Caffey,13953,5.01,Ontario,Paper,0.36
4308,"Eldon� Image Series Desk Accessories, Burgundy",Troy Blackwell,14119,6.92,Ontario,Office Furnishings,0.49
4309,Accessory24,Troy Blackwell,14119,3.3,Ontario,Telephones and Communication,0.59
4310,Accessory27,Troy Blackwell,14119,5,Ontario,Telephones and Communication,0.85
4311,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Jessica Myrick,14402,30,Ontario,Chairs & Chairmats,0.62
4312,Microsoft Internet Keyboard,Harry Marie,14499,6.5,Ontario,Computer Peripherals,0.78
4313,Logitech Cordless Navigator Duo,Erica Hackney,15079,7.18,Ontario,Computer Peripherals,0.48
4314,Xerox 1917,Erica Hackney,15079,5.97,Ontario,Paper,0.38
4315,Heavy-Duty E-Z-D� Binders,Lena Creighton,15236,2.99,Ontario,Binders and Binder Accessories,0.38
4316,Eldon� 500 Class� Desk Accessories,Lena Creighton,15236,6.2,Ontario,Office Furnishings,0.52
4317,"DS/HD IBM Formatted Diskettes, 10/Pack - Staples",Troy Blackwell,15397,4.32,Ontario,Computer Peripherals,0.64
4318,Targus USB Numeric Keypad,Troy Blackwell,15397,6.5,Ontario,Computer Peripherals,0.74
4319,12 Colored Short Pencils,Troy Blackwell,15397,2.4,Ontario,Pens & Art Supplies,0.58
4320,"Global Leather and Oak Executive Chair, Black",Troy Blackwell,15719,64.73,Ontario,Chairs & Chairmats,0.56
4321,Large Capacity Hanging Post Binders,Patricia Hirasaki,16098,2.99,Ontario,Binders and Binder Accessories,0.39
4322,Wausau Papers Astrobrights� Colored Envelopes,Dennis Bolton,16450,2.5,Ontario,Envelopes,0.36
4323,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Ken Brennan,17186,56.2,Ontario,Office Furnishings,0.74
4324,Xerox 1947,Ken Brennan,17186,5.35,Ontario,Paper,0.4
4325,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Harry Marie,17379,58.72,Ontario,Bookcases,0.76
4326,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Clytie Kelty,17573,7.29,Ontario,Office Furnishings,0.45
4327,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Mark Cousins,17702,9.23,Ontario,Appliances,0.58
4328,Honeywell Quietcare HEPA Air Cleaner,Art Foster,18595,13.99,Ontario,Appliances,0.52
4329,Acme� Elite Stainless Steel Scissors,Art Foster,18595,2.64,Ontario,"Scissors, Rulers and Trimmers",0.59
4330,Xerox 1935,Odella Nelson,19205,5.86,Ontario,Paper,0.39
4331,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Odella Nelson,19205,1.86,Ontario,Pens & Art Supplies,0.41
4332,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Clytie Kelty,19494,8.99,Ontario,Office Furnishings,0.41
4333,Rogers Handheld Barrel Pencil Sharpener,Clytie Kelty,19494,3.5,Ontario,Pens & Art Supplies,0.58
4334,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",Jim Sink,19523,2.2,Ontario,Paper,0.39
4335,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Steven Roelle,20482,60.19,Ontario,Bookcases,0.71
4336,Xerox 1907,Steven Roelle,20482,5.09,Ontario,Paper,0.38
4337,Letter Slitter,Harry Marie,21414,1.92,Ontario,"Scissors, Rulers and Trimmers",0.82
4338,Eureka Disposable Bags for Sanitaire� Vibra Groomer I� Upright Vac,Clytie Kelty,21445,6.89,Ontario,Appliances,0.6
4339,"Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case",Clytie Kelty,21445,5.76,Ontario,Office Machines,0.39
4340,Avery 511,Don Weiss,21573,0.99,Ontario,Labels,0.37
4341,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Don Weiss,21573,3.72,Ontario,Office Furnishings,0.4
4342,KI Conference Tables,Don Weiss,21573,89.3,Ontario,Tables,0.69
4343,"Avery Flip-Chart Easel Binder, Black",Fred Wasserman,21636,15.1,Ontario,Binders and Binder Accessories,0.38
4344,"Perma STOR-ALL� Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Fred Wasserman,21636,4.69,Ontario,Storage & Organization,0.68
4345,Belkin MediaBoard 104- Keyboard,Jessica Myrick,21795,4,Ontario,Computer Peripherals,0.75
4346,Computer Printout Paper with Letter-Trim Perforations,Jessica Myrick,21795,9.03,Ontario,Paper,0.37
4347,"Staples 10"" Round Wall Clock",Kalyca Meade,21859,5.71,Ontario,Office Furnishings,0.41
4348,Eldon� 500 Class� Desk Accessories,Lena Creighton,21989,6.2,Ontario,Office Furnishings,0.52
4349,i1000plus,Lena Creighton,21989,4.2,Ontario,Telephones and Communication,0.57
4350,GBC Standard Therm-A-Bind Covers,Beth Thompson,22151,12.98,Ontario,Binders and Binder Accessories,0.39
4351,2190,Maureen Fritzler,22688,5.63,Ontario,Telephones and Communication,0.56
4352,Xerox 1997,Pete Takahito,22916,10.05,Ontario,Paper,0.37
4353,StarTAC Analog,Lena Creighton,22951,8.99,Ontario,Telephones and Communication,0.6
4354,Xerox 1952,Rob Haberlin,22980,5.49,Ontario,Paper,0.38
4355,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Beth Thompson,23429,5.63,Ontario,Binders and Binder Accessories,0.39
4356,8860,Beth Thompson,23429,5.26,Ontario,Telephones and Communication,0.56
4357,Safco Industrial Wire Shelving,Jenna Caffey,23681,35,Ontario,Storage & Organization,
4358,"Metal Folding Chairs, Beige, 4/Carton",Rob Haberlin,24263,19.19,Ontario,Chairs & Chairmats,0.58
4359,"IBM 80 Minute CD-R Spindle, 50/Pack",Fred Wasserman,24455,1.99,Ontario,Computer Peripherals,0.48
4360,Fluorescent Highlighters by Dixon,Fred Wasserman,24455,0.83,Ontario,Pens & Art Supplies,0.51
4361,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Don Weiss,24707,24.49,Ontario,Office Furnishings,0.59
4362,Binder Clips by OIC,Don Weiss,24707,0.7,Ontario,Rubber Bands,0.37
4363,GBC Recycled Grain Textured Covers,Lena Creighton,25091,14.72,Ontario,Binders and Binder Accessories,0.37
4364,"Avery Flip-Chart Easel Binder, Black",Max Jones,26305,15.1,Ontario,Binders and Binder Accessories,0.38
4365,Bevis Boat-Shaped Conference Table,Max Jones,26305,62.74,Ontario,Tables,0.75
4366,Xerox 194,Clytie Kelty,26982,14.3,Ontario,Paper,0.37
4367,Heavy-Duty E-Z-D� Binders,Lena Creighton,27106,2.99,Ontario,Binders and Binder Accessories,0.38
4368,Laser & Ink Jet Business Envelopes,Lena Creighton,27106,1.39,Ontario,Envelopes,0.39
4369,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Lena Creighton,27106,30,Ontario,Chairs & Chairmats,0.78
4370,"Executive Impressions 14"" Contract Wall Clock",Lena Creighton,27106,3.63,Ontario,Office Furnishings,0.52
4371,Sanford Liquid Accent Highlighters,Lena Creighton,27106,1.5,Ontario,Pens & Art Supplies,0.48
4372,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Rob Haberlin,27527,5.4,Ontario,Office Furnishings,0.51
4373,Sharp AL-1530CS Digital Copier,Jenna Caffey,27746,24.49,Ontario,Copiers and Fax,0.36
4374,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Odella Nelson,27811,13.18,Ontario,Binders and Binder Accessories,0.37
4375,SAFCO Optional Arm Kit for Workspace� Cribbage Stacking Chair,Art Foster,27974,5.3,Ontario,Chairs & Chairmats,
4376,Eldon� 500 Class� Desk Accessories,Art Foster,27974,6.2,Ontario,Office Furnishings,0.52
4377,"Perma STOR-ALL� Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Jessica Myrick,28774,4.69,Ontario,Storage & Organization,0.68
4378,Xerox 1907,Ken Brennan,29607,5.09,Ontario,Paper,0.38
4379,"Iceberg OfficeWorks 42"" Round Tables",Ken Brennan,29730,39.25,Ontario,Tables,0.75
4380,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Joe Kamberova,30144,69.64,Ontario,Tables,0.77
4381,Okidata ML320 Series Turbo Dot Matrix Printers,Rob Haberlin,31266,12.06,Ontario,Office Machines,0.56
4382,Acco D-Ring Binder w/DublLock�,Lena Creighton,31456,2.99,Ontario,Binders and Binder Accessories,0.36
4383,"Executive Impressions 14"" Contract Wall Clock",Max Jones,31522,3.63,Ontario,Office Furnishings,0.52
4384,"Global Stack Chair without Arms, Black",Max Jones,31522,14.36,Ontario,Chairs & Chairmats,0.6
4385,"Global Leather & Oak Executive Chair, Burgundy",Don Weiss,33319,60.2,Ontario,Chairs & Chairmats,0.77
4386,Lexmark Z55se Color Inkjet Printer,Darrin Martin,33635,28,Ontario,Office Machines,0.38
4387,Tennsco Commercial Shelving,Darrin Martin,33635,35,Ontario,Storage & Organization,0.84
4388,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Rob Haberlin,33988,5.14,Ontario,Computer Peripherals,0.79
4389,636,Jim Sink,34087,5.26,Ontario,Telephones and Communication,0.57
4390,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Clytie Kelty,34691,9.23,Ontario,Appliances,0.58
4391,Okidata ML184 Turbo Dot Matrix Printers,Clytie Kelty,34691,26.53,Ontario,Office Machines,0.56
4392,Xerox 1939,Clytie Kelty,34691,9.54,Ontario,Paper,0.37
4393,Bretford CR8500 Series Meeting Room Furniture,Jim Sink,34785,42.52,Ontario,Tables,0.71
4394,Accessory41,Pete Takahito,34883,5.99,Ontario,Telephones and Communication,0.38
4395,Newell 343,Michael Dominguez,35077,0.96,Ontario,Pens & Art Supplies,0.58
4396,Chromcraft Rectangular Conference Tables,Hallie Redmond,36132,59.24,Ontario,Tables,0.61
4397,Southworth 25% Cotton Premium Laser Paper and Envelopes,Katrina Willman,36133,8.68,Ontario,Paper,0.37
4398,Xerox 21,Steven Roelle,37891,6.6,Ontario,Paper,0.37
4399,"Brites Rubber Bands, 1 1/2 oz. Box",Steven Roelle,37891,0.7,Ontario,Rubber Bands,0.83
4400,"Bevis Round Bullnose 29"" High Table Top",Steven Roelle,37891,66.67,Ontario,Tables,0.61
4401,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Steven Roelle,37891,13.99,Ontario,Telephones and Communication,0.57
4402,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Rob Haberlin,38021,23.19,Ontario,Appliances,0.59
4403,Avery 508,Rob Haberlin,38021,0.5,Ontario,Labels,0.36
4404,Luxo Economy Swing Arm Lamp,Erica Hackney,38146,14.87,Ontario,Office Furnishings,0.57
4405,ACCOHIDE� Binder by Acco,John Castell,38656,5.34,Ontario,Binders and Binder Accessories,0.38
4406,Global Ergonomic Managers Chair,John Castell,38656,26.2,Ontario,Chairs & Chairmats,0.59
4407,Talkabout T8367,Benjamin Patterson,38756,8.99,Ontario,Telephones and Communication,0.56
4408,"Wilson Jones Hanging View Binder, White, 1""",Maureen Fritzler,39268,6.05,Ontario,Binders and Binder Accessories,0.39
4409,Rubber Band Ball,Maureen Fritzler,39268,0.94,Ontario,Rubber Bands,0.83
4410,Ampad #10 Peel & Seel� Holiday Envelopes,Michael Dominguez,39488,2.5,Ontario,Envelopes,0.37
4411,"Global Leather Task Chair, Black",Jessica Myrick,39650,42,Ontario,Chairs & Chairmats,0.66
4412,"Master Caster Door Stop, Large Neon Orange",Jessica Myrick,39650,7.98,Ontario,Office Furnishings,0.42
4413,Fellowes Stor/Drawer� Steel Plus� Storage Drawers,Jim Sink,39844,19.99,Ontario,Storage & Organization,0.79
4414,Xerox 216,Jim Sink,40800,7.91,Ontario,Paper,0.37
4415,Hon Non-Folding Utility Tables,Mark Cousins,40965,60,Ontario,Tables,0.55
4416,Accessory36,Mark Cousins,40965,5,Ontario,Telephones and Communication,0.83
4417,Avery Premier Heavy-Duty Binder with Round Locking Rings,John Castell,41316,2.99,Ontario,Binders and Binder Accessories,0.39
4418,3285,John Castell,41316,5.99,Ontario,Telephones and Communication,0.59
4419,"Super Bands, 12/Pack",Mark Cousins,41476,2.58,Ontario,Rubber Bands,0.82
4420,Xerox 1936,Kalyca Meade,41861,5.97,Ontario,Paper,0.38
4421,US Robotics 56K V.92 External Faxmodem,Lena Creighton,42274,19.99,Ontario,Computer Peripherals,0.52
4422,Eldon� 500 Class� Desk Accessories,Lena Creighton,42274,6.2,Ontario,Office Furnishings,0.52
4423,Staples 6 Outlet Surge,Michael Dominguez,42882,4.98,Ontario,Appliances,0.58
4424,Eldon� Wave Desk Accessories,Max Jones,43360,5.33,Ontario,Office Furnishings,0.43
4425,12 Colored Short Pencils,Odella Nelson,43713,2.4,Ontario,Pens & Art Supplies,0.58
4426,"SAFCO Mobile Desk Side File, Wire Frame",Max Jones,44322,6.22,Ontario,Storage & Organization,
4427,"Lifetime Advantage� Folding Chairs, 4/Carton",Clytie Kelty,44579,18.06,Ontario,Chairs & Chairmats,0.57
4428,Space Solutions Commercial Steel Shelving,Duane Benoit,44737,35,Ontario,Storage & Organization,0.8
4429,Accessory25,Duane Benoit,44737,0.99,Ontario,Telephones and Communication,0.57
4430,"Sanford EarthWrite� Recycled Pencils, Medium Soft, #2",Max Jones,44738,0.7,Ontario,Pens & Art Supplies,0.57
4431,Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms,Mark Cousins,44768,58.92,Ontario,Chairs & Chairmats,0.64
4432,Global Troy� Executive Leather Low-Back Tilter,Max Jones,44867,26,Ontario,Chairs & Chairmats,0.6
4433,Bevis Boat-Shaped Conference Table,Gene McClure,45029,62.74,Ontario,Tables,0.75
4434,KI Conference Tables,Denny Joy,45543,89.3,Ontario,Tables,0.69
4435,"Memorex 80 Minute CD-R Spindle, 100/Pack",Denny Joy,45635,1.99,Ontario,Computer Peripherals,0.44
4436,Accessory31,Odella Nelson,46436,0.99,Ontario,Telephones and Communication,0.35
4437,Fellowes Stor/Drawer� Steel Plus� Storage Drawers,John Castell,46848,19.99,Ontario,Storage & Organization,0.79
4438,US Robotics 56K V.92 Internal PCI Faxmodem,Clytie Kelty,47009,19.99,Ontario,Computer Peripherals,0.45
4439,M70,Benjamin Patterson,47138,8.99,Ontario,Telephones and Communication,0.59
4440,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Michael Dominguez,47236,3.5,Ontario,Appliances,0.59
4441,Newell 325,Michael Dominguez,47686,1.23,Ontario,Pens & Art Supplies,0.55
4442,"Eldon� 300 Class� Desk Accessories, Black",Duane Benoit,47971,5.32,Ontario,Office Furnishings,0.41
4443,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Michael Dominguez,48261,30,Ontario,Chairs & Chairmats,0.78
4444,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Amy Cox,48773,2.17,Ontario,Paper,0.38
4445,Xerox 220,Benjamin Patterson,48902,7.49,Ontario,Paper,0.37
